序号,产品图,名称,电池型号/节数,单位,价格,数量,规格,金额,建议价,市值,条码,重量KG
T-D-425,/product_images/image_row_0373.jpg,DX-大象情趣系列 K纹款冰峰火巢3只装,无,盒,5.6225,,3只/盒,=G373*F373,25,=J373*G373,6936406101963,0.03
T-D-426,/product_images/image_row_0374.jpg,DX-大象情趣系列 K纹款冰峰火巢10只装,无,盒,15.2295,,10只/盒,=G374*F374,46,=J374*G374,6936406101925,0.05
T-D-427,/product_images/image_row_0375.jpg,DX-大象情趣系列 紧致款10只装（升级款）,无,盒,11.5895,,10只/盒,=G375*F375,35,=J375*G375,6936406103332,0.05
T-D-500,/product_images/image_row_0376.jpg,QY-玩爆潮品 抠指套 颗粒水晶套2只袋装,无,袋,1.04,,2只/袋,=G376*F376,9.9,=J376*G376,6922359306852,0.04
T-D-501,/product_images/image_row_0377.jpg,QY-取悦 抠指套 水晶2只装,无,盒,3.25,,2只/盒,=G377*F377,38,=J377*G377,6922359305060,0.04
T-D-502,/product_images/image_row_0378.jpg,QY-取悦 指尖抠指套 水晶套2只装,无,盒,3.575,,2只/盒,=G378*F378,38,=J378*G378,6922359305138,0.04
T-D-503,/product_images/image_row_0379.jpg,QY-取悦 魔法抠指套①,无,盒,4.225,,1只/盒,=G379*F379,48,=J379*G379,6922359305145,0.04
T-D-504,/product_images/image_row_0380.jpg,QY-取悦 激爽抠指套②,无,盒,4.225,,1只/盒,=G380*F380,48,=J380*G380,6922359305152,0.04
T-D-505,/product_images/image_row_0381.jpg,QY-取悦 激情抠指套③,无,盒,3.9,,1只/盒,=G381*F381,48,=J381*G381,6922359305169,0.04
T-D-506,/product_images/image_row_0382.jpg,QY-取悦 虎牙抠指套④,无,盒,3.9,,1只/盒,=G382*F382,48,=J382*G382,6922359305176,0.04
T-D-507,/product_images/image_row_0383.jpg,QY-取悦 狼牙抠指套⑤,无,盒,4.225,,1只/盒,=G383*F383,48,=J383*G383,6922359305183,0.04
T-D-508,/product_images/image_row_0384.jpg,QY-取悦 嗨豆抠指套 振动刺激水晶套,内含跳蛋,盒,11.7,,1只/盒,=G384*F384,48,=J384*G384,6922359305688,0.04
R-E-001,/product_images/image_row_0385.jpg,Durex-杜蕾斯爽滑快感情趣啫喱人体润滑液,无,瓶,34.45,,1瓶/盒,=G385*F385,59,=J385*G385,6923146102015,0.095
R-E-002,/product_images/image_row_0386.jpg,Durex-杜蕾斯激情热感情趣啫喱人体润滑液,无,瓶,38.35,,1瓶/盒,=G386*F386,65,=J386*G386,6923146103036,0.095
R-E-003,/product_images/image_row_0387.jpg,Durex-杜蕾斯怡情樱桃情趣啫喱人体润滑液50ml,无,瓶,38.35,,1瓶/盒,=G387*F387,65,=J387*G387,6923146107607,0.1
R-E-004,/product_images/image_row_0388.jpg,Durex-杜蕾斯甜诱草莓情趣啫喱人体润滑液50ml,无,瓶,38.35,,1瓶/盒,=G388*F388,65,=J388*G388,5052197019704,0.1
R-E-004.1,/product_images/image_row_0389.jpg,Durex-杜蕾斯真感丝滑润滑剂50ml,无,瓶,46.02,,1瓶/盒,=G389*F389,85,=J389*G389,5701092111449,0.1
R-E-004.2,/product_images/image_row_0390.jpg,Durex-杜蕾斯舒缓按摩油200ml,无,瓶,61.36,,1瓶/盒,=G390*F390,105,=J390*G390,5038483998663,0.1
R-E-005,/product_images/image_row_0391.jpg,Durex-杜蕾斯 K-Y人体润滑剂15g,无,瓶,17.55,,1瓶/盒,=G391*F391,38,=J391*G391,6932740900644,0.05
R-E-006,/product_images/image_row_0392.jpg,Durex-杜蕾斯 K-Y人体润滑剂50g,无,瓶,38.35,,1瓶/盒,=G392*F392,68,=J392*G392,5052197037654,0.1
R-E-007.1,/product_images/image_row_0393.jpg,XZL-果味人体润滑剂60ML 葡萄味,无,盒,7.02,,1瓶/盒,=G393*F393,68,=J393*G393,6928590103052,0.11
R-E-007.2,/product_images/image_row_0394.jpg,XZL-果味人体润滑剂60ML 哈密瓜味,无,盒,7.02,,1瓶/盒,=G394*F394,68,=J394*G394,6928590102055,0.11
R-E-007.3,/product_images/image_row_0395.jpg,XZL-果味人体润滑剂60ML 樱桃味,无,盒,7.02,,1瓶/盒,=G395*F395,68,=J395*G395,6928590101119,0.11
R-E-008,/product_images/image_row_0396.jpg,XZL-后庭冰感润滑啫喱120ml,无,盒,7.8,,1瓶/盒,=G396*F396,48,=J396*G396,6928590111033,0.17
R-E-009,/product_images/image_row_0397.jpg,XZL-后庭热感润滑啫喱120ml,无,盒,7.8,,1瓶/盒,=G397*F397,48,=J397*G397,6928590111088,0.17
R-E-010,/product_images/image_row_0398.jpg,XZL-透明质酸免洗润滑剂200ML,无,瓶,8.45,,1瓶/盒,=G398*F398,68,=J398*G398,6928590100112,0.26
R-E-011,/product_images/image_row_0399.jpg,XZL-樱花滋养精华润滑液,无,瓶,14.3,,1瓶/盒,=G399*F399,78,=J399*G399,6928590108095,0.31
R-E-012,/product_images/image_row_0400.jpg,XZL-仿真精液200ml,无,盒,7.8,,1瓶/盒,=G400*F400,68,=J400*G400,6928590100105,0.26
R-E-013,/product_images/image_row_0401.jpg,XZL-2倍透明质酸热感激情60ml,无,盒,5.85,,1瓶/盒,=G401*F401,58,=J401*G401,6928590169287,0.12
R-E-014,/product_images/image_row_0402.jpg,XZL-2倍透明质酸冰感爽滑60ml,无,盒,5.85,,1瓶/盒,=G402*F402,58,=J402*G402,6928590132328,0.12
R-E-015,/product_images/image_row_0403.jpg,独爱 极润20ml,无,盒,0.975,,1瓶/盒,=G403*F403,20,=J403*G403,6971341300552,0.03
R-E-016,/product_images/image_row_0404.jpg,独爱 四色润滑液60ml芦荟肌感 绿,无,盒,1.95,,1瓶/盒,=G404*F404,28,=J404*G404,6971341301115,0.075
R-E-016.1,/product_images/image_row_0405.jpg,独爱 四色润滑液60ml长效滋滑 紫,暂无,盒,1.95,,1瓶/盒,=G405*F405,28,=J405*G405,6971341301092,0.075
R-E-016.2,/product_images/image_row_0406.jpg,独爱 四色润滑液60ml草本配方 黑,暂无,盒,1.95,,1瓶/盒,=G406*F406,28,=J406*G406,6971341301122,0.075
R-E-016.3,/product_images/image_row_0407.jpg,独爱 四色润滑液60ml活力滋养 红,暂无,盒,1.95,,1瓶/盒,=G407*F407,28,=J407*G407,6971341301108,0.075
R-E-017,/product_images/image_row_0408.jpg,FERQU-水溶性人体润滑液20ml绿,无,盒,0.975,,1瓶/盒,=G408*F408,20,=J408*G408,6971212076715,0.03
R-E-018,/product_images/image_row_0409.jpg,FERQU-水溶性人体润滑液20ml红,无,盒,0.975,,1瓶/盒,=G409*F409,20,=J409*G409,6971212076722,0.03
R-E-019,/product_images/image_row_0410.jpg,DA-滋养芦荟人体润滑液,无,盒,9.1,,1瓶/盒,=G410*F410,68,=J410*G410,6971341300972,0.2
R-E-020,/product_images/image_row_0411.jpg,DA-女性快感增强液,无,盒,6.825,,1瓶/盒,=G411*F411,98,=J411*G411,6971341301160,0.055
R-E-021,/product_images/image_row_0412.jpg,DA-幻彩颗粒润滑油（倍润）白,无,瓶,7.15,,1瓶,=G412*F412,68,=J412*G412,6971341300798,0.3
R-E-021.1,/product_images/image_row_0413.jpg,DA-幻彩颗粒润滑油（热感）红,暂无,瓶,7.15,,1瓶,=G413*F413,68,=J413*G413,6971341300804,0.3
R-E-021.2,/product_images/image_row_0414.jpg,DA-幻彩颗粒润滑油（快感）蓝,暂无,瓶,7.15,,1瓶,=G414*F414,68,=J414*G414,6971341300811,0.3
R-E-023,/product_images/image_row_0415.jpg,FERQU-玻尿酸003水溶性人体润滑液60ml,无,盒,1.95,,1瓶/盒,=G415*F415,28,=J415*G415,6971212073806,0.1
R-E-024,/product_images/image_row_0416.jpg,FERQU-透明质酸003人体润滑液60ml,无,盒,1.95,,1瓶/盒,=G416*F416,28,=J416*G416,6971212073905,0.1
R-E-025,/product_images/image_row_0417.jpg,DA-極潤60ML人体润滑液,无,盒,1.3,,1瓶/盒,=G417*F417,28,=J417*G417,6971341300569,0.075
R-E-026,/product_images/image_row_0418.jpg,DA-芦荟精华人体润滑液,无,盒,24.7,,1瓶/盒,=G418*F418,78,=J418*G418,6971341300767,0.32
R-E-027,/product_images/image_row_0419.jpg,尚品人体润滑剂60ml,无,盒,2.73,,1瓶/盒,=G419*F419,28,=J419*G419,6954249600658,0.08
R-E-028,/product_images/image_row_0420.jpg,AKY-人体润滑液30ml,无,盒,0.91,,1瓶/盒,=G420*F420,25,=J420*G420,6971212072427,0.04
R-E-029,/product_images/image_row_0421.jpg,okamoto-冈本003 透明质酸钠润滑液6ml/袋（红）,无,袋,2.99,,1袋,=G421*F421,9.9,=J421*G421,4547691805706,0.01
R-E-029.1,/product_images/image_row_0422.jpg,okamoto-冈本003 透明质酸润滑液15ml,无,盒,13.975,,1瓶/盒,=G422*F422,24.9,=J422*G422,4547691783363,0.06
R-E-029.2,/product_images/image_row_0423.jpg,okamoto-冈本003 透明质酸润滑液60ml,无,盒,38.35,,1瓶/盒,=G423*F423,69,=J423*G423,4547691746610,0.13
R-E-030,/product_images/image_row_0424.jpg,okamoto-冈本 风感水溶性润滑剂 60ml,无,盒,27.95,,1瓶/盒,=G424*F424,49,=J424*G424,4547691810038,0.15
R-E-030.1,/product_images/image_row_0425.jpg,okamoto-冈本 林感水溶性润滑剂 60ml,无,盒,33.8,,1瓶/盒,=G425*F425,59,=J425*G425,4547691812346,0.15
R-E-030.2,/product_images/image_row_0426.jpg,okamoto-冈本 山感水溶性润滑剂 60ml,无,盒,33.8,,1瓶/盒,=G426*F426,59,=J426*G426,4547691812353,0.15
R-E-030.3,/product_images/image_row_0427.jpg,okamoto-冈本 火感水溶性润滑剂 60ml,无,盒,27.95,,1瓶/盒,=G427*F427,49,=J427*G427,4547691810021,0.15
R-E-032,/product_images/image_row_0428.jpg,XBS-龙吟 男士湿巾升级版,无,袋,0.91,,一张/袋,=G428*F428,20,=J428*G428,6971212073936,0.01
R-E-033,/product_images/image_row_0429.jpg,XBS-御龙 久战皇男士湿巾,无,袋,0.91,,一张/袋,=G429*F429,20,=J429*G429,6971212073899,0.01
R-E-034,/product_images/image_row_0430.jpg,CYT-宫廷延时 男士湿巾,无,袋,1.235,,1张/袋,=G430*F430,28,=J430*G430,6971212079914,0.01
R-E-035,/product_images/image_row_0431.jpg,CYT-延时王 男士湿巾,无,袋,1.235,,1张/袋,=G431*F431,28,=J431*G431,6971212079907,0.01
R-E-036,/product_images/image_row_0432.jpg,HB-黑豹Black Panther豹女郎 女用快感湿巾,无,袋,4.095,,2张/袋,=G432*F432,38,=J432*G432,6922218100416,0.02
R-E-037,/product_images/image_row_0433.jpg,YCG-龙吟 至尊液男士湿巾,无,袋,0.897,,1张/袋,=G433*F433,25,=J433*G433,6971212079891,0.01
R-E-038,/product_images/image_row_0434.jpg,YCG-龙吟 极乐水男士湿巾,无,袋,0.897,,1张/袋,=G434*F434,25,=J434*G434,6971212079884,0.01
R-E-040,/product_images/image_row_0435.jpg,XZL-莞式口娇水,无,盒,5.2,,8袋/盒,=G435*F435,68,=J435*G435,6972282508069,0.1
R-E-041,/product_images/image_row_0436.jpg,第6感 水漾系列 水润水溶性人体润滑剂 200ml,无,盒,12.025,,1瓶/盒,=G436*F436,28,=J436*G436,6932564454705,0.26
R-E-041.1,/product_images/image_row_0437.jpg,第6感 水漾系列水漾草莓味人体润滑剂200ml（RCML200-BC）,无,盒,9.75,,1瓶/盒,=G437*F437,48,=J437*G437,6932564457225,0.26
R-E-042,/product_images/image_row_0438.jpg,第6感 水啵啵诱惑水蜜桃水溶性人体润滑剂300ml,无,盒,13.52,,1瓶/盒,=G438*F438,38,=J438*G438,6932564453074,0.4
R-E-042.1,/product_images/image_row_0439.jpg,第6感 水啵啵水润快感水溶性人体润滑剂300ml（RDSL300-N）,无,瓶,12.09,,1瓶,=G439*F439,35,=J439*G439,6932564453050,0.4
R-E-043,/product_images/image_row_0440.jpg,杰士邦 水润快感情趣润滑剂50ml,无,盒,17.03,,1瓶/盒,=G440*F440,48,=J440*G440,6927099404004,0.1
R-E-044,/product_images/image_row_0441.jpg,杰士邦 冰爽快感情趣润滑剂50ml,无,盒,18.46,,1瓶/盒,=G441*F441,58,=J441*G441,6927099404066,0.1
R-E-045,/product_images/image_row_0442.jpg,杰士邦 火热快感情趣润滑剂50ml,无,盒,18.46,,1瓶/盒,=G442*F442,58,=J442*G442,6927099404097,0.1
R-E-046,/product_images/image_row_0443.jpg,杰士邦 零感玻尿酸润滑剂5ml（袋装）,无,袋,1.43,,1袋,=G443*F443,9,=J443*G443,6927099405889,0.05
R-E-047,/product_images/image_row_0444.jpg,杰士邦 零感玻尿酸润滑剂15ml,无,盒,8.515,,1瓶/盒,=G444*F444,38,=J444*G444,6927099407623,0.1
R-E-048,/product_images/image_row_0445.jpg,杰士邦 003玻尿酸人体润滑剂15mL,无,盒,12.61,,1瓶/盒,=G445*F445,38,=J445*G445,6973974742433,0.1
R-E-049,/product_images/image_row_0446.jpg,杰士邦 草莓果味润滑剂50ml,无,盒,21.06,,1瓶/盒,=G446*F446,59,=J446*G446,6973974742440,0.1
R-E-050,/product_images/image_row_0447.jpg,第6感 玻尿酸润滑剂50ml,无,盒,17.55,,1瓶/盒,=G447*F447,38,=J447*G447,6932564454576,0.1
R-E-051,/product_images/image_row_0448.jpg,Durex-杜蕾斯 欢潮女用快感液10ml,无,盒,76.7,,1瓶/盒,=G448*F448,158,=J448*G448,6932740900705,0.1
R-E-053,/product_images/image_row_0449.jpg,MINGLIU-名流 女性增感凝露热感15ml,无,盒,10.465,,1瓶/盒,=G449*F449,98,=J449*G449,6936296737181,0.2
R-E-054,/product_images/image_row_0450.jpg,杰士邦 外用延时巾经典款1片 铝膜装,无,袋,2.145,,1袋,=G450*F450,25,=J450*G450,6973974741405,0.008
R-E-054.1,/product_images/image_row_0451.jpg,杰士邦 外用延时膏黄金款1g(试用装)（JYSGHJS1）,无,袋,4.16,,1袋,=G451*F451,25,=J451*G451,6973974741870,0.008
R-E-054.2,/product_images/image_row_0452.jpg,杰士邦 外用延时巾劲爽款（试用装）（JYSSJJ）,无,袋,3.51,,1袋,=G452*F452,15,=J452*G452,6973974741399,0.008
R-E-055,/product_images/image_row_0453.jpg,杰士邦 醇香咖啡人体润滑液5mL*3颗（RKFJ15）,无,盒,11.7,,3颗/盒,=G453*F453,48,=J453*G453,6927099418315,0.05
R-E-056,/product_images/image_row_0454.jpg,杰士邦 躁动先生肆欲香水1.5ml试用装,无,盒,5.85,,1卡,=G454*F454,28,=J454*G454,6936337410738,0.03
R-E-056.1,/product_images/image_row_0455.jpg,杰士邦 纯欲小姐肆欲香水1.5ml试用装,无,盒,5.85,,1卡,=G455*F455,28,=J455*G455,6936337410721,0.03
R-E-057,/product_images/image_row_0456.jpg,杰士邦 果香彩虹人体润滑液5mL*7颗(RCHJ35),无,盒,21.125,,7颗/盒,=G456*F456,45,=J456*G456,6927099419619,0.05
R-E-057.1,/product_images/image_row_0457.jpg,杰士邦 女性快感增强凝露2ml,无,袋,1.95,,1袋,=G457*F457,15,=J457*G457,6927099414317,0.008
R-E-057.2,/product_images/image_row_0458.jpg,杰士邦 玫瑰臻萃人体润滑液5mL（RMGJ5）,无,袋,3.12,,5ml/袋,=G458*F458,18,=J458*G458,6927099417257,0.02
R-E-057.3,/product_images/image_row_0459.jpg,杰士邦 女性快感增强凝露15ml,无货,盒,52.325,,1瓶/盒,=G459*F459,199,=J459*G459,6927099408750,0.1
R-E-058,/product_images/image_row_0460.jpg,杰士邦 外用延时喷剂8ml,无,盒,64.35,,1瓶/盒,=G460*F460,199,=J460*G460,6973974741368,0.15
R-E-059,/product_images/image_row_0461.jpg,第6感 外用延时膏增强款PRO 1g（试用装）,无,盒,2.86,,1袋,=G461*F461,18,=J461*G461,6973974741801,0.008
R-E-059.1,/product_images/image_row_0462.jpg,第6感 水啵啵水润快感水溶性人体润滑剂5ml(RDSL5),无,袋,1.04,,5ml袋,=G462*F462,9,=J462*G462,6932564457096,0.008
R-E-060.1,/product_images/image_row_0463.jpg,第6感 外用延时巾 黑金款 1片 铝膜装（LYSSJAJD1）,无,袋,0.91,,1片袋,=G463*F463,15,=J463*G463,6973974742969,0.008
R-E-061,/product_images/image_row_0464.jpg,第6感 女性快感增强精华（超值款）30ml,无,盒,23.4,,1瓶/盒,=G464*F464,99,=J464*G464,6932564454439,0.1
R-E-061.1,/product_images/image_row_0465.jpg,第6感 口娇水(冰感可乐味)单支装(KKL10),无,袋,2.08,,1支,=G465*F465,18,=J465*G465,6932564456556,0.01
R-E-061.2,/product_images/image_row_0466.jpg,第6感 口娇水(火热草莓味)单支装(KCL10),无,袋,2.08,,1支,=G466*F466,18,=J466*G466,6932564456525,0.01
R-E-062,/product_images/image_row_0467.jpg,第6感 外用延时膏 经典款MAX 15g,无,盒,27.43,,1瓶/盒,=G467*F467,158,=J467*G467,6973974741733,0.05
R-E-063,/product_images/image_row_0468.jpg,第6感 外用延时喷剂 10mL,无,盒,16.25,,1瓶/盒,=G468*F468,99,=J468*G468,6973974749395,0.03
R-E-064,/product_images/image_row_0469.jpg,YS-男士延时喷剂（帝王版）,无,盒,9.0805,,1瓶/盒,=G469*F469,88,=J469*G469,6972651420084,0.07
R-E-067,/product_images/image_row_0470.jpg,YS-女用高潮液,无,盒,5.837,,1瓶/盒,=G470*F470,58,=J470*G470,6972651427182,0.055
R-E-070,/product_images/image_row_0471.jpg,JJH-猛战皇男士喷剂 金盒,无,盒,3.51,,1瓶/盒,=G471*F471,98,=J471*G471,6971212073981,0.04
R-E-071,/product_images/image_row_0472.jpg,JJH-猛战皇男士喷剂 红盒,无,盒,3.51,,1瓶/盒,=G472*F472,98,=J472*G472,6971212073974,0.04
R-E-073,/product_images/image_row_0473.jpg,AKY-久九皇 真の男立渤挺 男士日式喷剂,无,盒,3.51,,1瓶/盒,=G473*F473,98,=J473*G473,6971212075725,0.04
R-E-074,/product_images/image_row_0474.jpg,AKY-KVG勇戦 男士日式喷剂,无,盒,3.51,,1瓶/盒,=G474*F474,98,=J474*G474,6971212077484,0.04
R-E-075,/product_images/image_row_0475.jpg,AKY-久九皇勇戦 持続力 男士喷剂,无,盒,3.51,,1瓶/盒,=G475*F475,98,=J475*G475,6971212077897,0.04
R-E-077,/product_images/image_row_0476.jpg,AKY-草本神油男士喷剂10ml,无,盒,3.9,,1瓶/盒,=G476*F476,98,=J476*G476,6971212073523,0.035
R-E-080,/product_images/image_row_0477.jpg,AKY-日系外用延时喷剂黑臻版10ml,无,盒,4.745,,1瓶/盒,=G477*F477,98,=J477*G477,6971212074629,0.042
R-E-082,/product_images/image_row_0478.jpg,AKY-持続 绝伦の鬼 男士喷剂日式加强,无,盒,4.745,,1瓶/盒,=G478*F478,98,=J478*G478,6971212076456,0.042
R-E-083,/product_images/image_row_0479.jpg,AKY-草本神油 男士外用抑菌喷剂加强版,无,盒,4.745,,1瓶/盒,=G479*F479,98,=J479*G479,6971212078634,0.042
R-E-085,/product_images/image_row_0480.jpg,AKY-久九皇勇戦 自信 男士喷剂,无,盒,4.745,,1瓶/盒,=G480*F480,98,=J480*G480,6971212077910,0.042
R-E-087,/product_images/image_row_0481.jpg,CZY-硬男人 男士外用喷剂10ml,无,盒,5.525,,1瓶/盒,=G481*F481,118,=J481*G481,6975248661013,0.05
R-E-088,/product_images/image_row_0482.jpg,CZY-久战神 男士外用喷剂10ml,无,盒,5.525,,1瓶/盒,=G482*F482,118,=J482*G482,6971212073813,0.05
R-E-089,/product_images/image_row_0483.jpg,CZY-延时王 男士外用喷剂10ml,无,盒,5.525,,1瓶/盒,=G483*F483,118,=J483*G483,6971212073820,0.05
R-E-090,/product_images/image_row_0484.jpg,CZY-金枪不倒 男士外用喷剂10ml,无,盒,5.525,,1瓶/盒,=G484*F484,118,=J484*G484,6975248661242,0.05
R-E-091,/product_images/image_row_0485.jpg,CZY-啪啪油 男士外用喷剂10ml,无,盒,5.525,,1瓶/盒,=G485*F485,118,=J485*G485,6975248660993,0.05
R-E-092,/product_images/image_row_0486.jpg,XJL-帝王油,无,盒,4.875,,1瓶/盒,=G486*F486,78,=J486*G486,6970619600745,0.045
R-E-093,/product_images/image_row_0487.jpg,XJL-老虎油,无,盒,4.875,,1瓶/盒,=G487*F487,78,=J487*G487,6970619600745,0.045
R-E-094.1,/product_images/image_row_0488.jpg,AWK-黑魂舒缓快感胶囊 黑袋1粒,开肛急用,袋,1.69,,1粒/袋,=G488*F488,15,=J488*G488,6973872500852,0.01
R-E-094.2,/product_images/image_row_0489.jpg,AWK-黑魂火热快感胶囊 红袋1粒,开肛急用,袋,1.69,,1粒/袋,=G489*F489,15,=J489*G489,6973872500838,0.01
R-E-094.3,/product_images/image_row_0490.jpg,AWK-黑魂冰爽快感胶囊 蓝袋1粒,开肛急用,袋,1.69,,1粒/袋,=G490*F490,15,=J490*G490,6973872500845,0.01
R-E-094.4,/product_images/image_row_0491.jpg,AWK-黑魂 极润人体润滑液5g袋装,人体润滑,袋,0.13,,1袋,=G491*F491,9,=J491*G491,6973872500289,0.01
R-E-095.1,/product_images/image_row_0492.jpg,AWK-黑魂 黑色物语开肛缓痛初体验50ml,开肛缓痛,盒,2.99,,1瓶/盒,=G492*F492,38,=J492*G492,6973872500166,0.08
R-E-095.2,/product_images/image_row_0493.jpg,AWK-黑魂 黑色物语开肛缓痛初体验200ml,开肛缓痛,盒,5.33,,1瓶/盒,=G493*F493,65,=J493*G493,6973872500074,0.25
R-E-096,/product_images/image_row_0494.jpg,AWK-黑魂 兄弟汁仿精液浓稠拉丝200ml,润滑顺畅,瓶,5.33,,1瓶,=G494*F494,65,=J494*G494,6973872501101,0.25
R-E-097.1,/product_images/image_row_0495.jpg,AWK-黑魂 果味润滑液樱桃味200ml,果味润滑,盒,5.59,,1瓶/盒,=G495*F495,48,=J495*G495,6973872500814,0.25
R-E-097.2,/product_images/image_row_0496.jpg,AWK-黑魂 果味润滑液水蜜桃味200ml,果味润滑,盒,5.59,,1瓶/盒,=G496*F496,48,=J496*G496,6973872500821,0.25
R-E-097.3,/product_images/image_row_0497.jpg,AWK-黑魂 果味润滑液草莓味200ml,果味润滑,盒,5.59,,1瓶/盒,=G497*F497,48,=J497*G497,6973872500807,0.25
R-E-098,/product_images/image_row_0498.jpg,AWK-黑魂 仿精人体润滑液同志开肛200ml,开肛缓痛,盒,5.33,,1瓶/盒,=G498*F498,65,=J498*G498,6973872502818,0.25
R-E-099,/product_images/image_row_0499.jpg,AWK-黑魂 仿精液男性味润滑液200ml,仿精润滑,瓶,6.5,,1瓶,=G499*F499,65,=J499*G499,6973872500203,0.25
R-E-100,/product_images/image_row_0500.jpg,AWK-黑魂 速泄快感润滑夜30ml,快感液,盒,9.1,,1瓶/盒,=G500*F500,88,=J500*G500,6973872501774,0.1
R-E-101,/product_images/image_row_0501.jpg,AWK-黑魂 男款助兴润滑液400ml,助兴液,盒,21.45,,1瓶/盒,=G501*F501,99,=J501*G501,6973872501224,0.6
R-E-103,/product_images/image_row_0502.jpg,SY-征服者15ML,无,盒,9.685,,1瓶/盒,=G502*F502,158,=J502*G502,6933523201361,0.06
R-E-104,/product_images/image_row_0503.jpg,SY-王者荣耀喷剂20ML,无,盒,22.75,,1瓶/盒,=G503*F503,208,=J503*G503,6971779151757,0.15
R-E-105,/product_images/image_row_0504.jpg,SY-至尊红颜 女性本草神油,无,盒,6.5,,1瓶/盒,=G504*F504,138,=J504*G504,6973855941290,0.05
R-E-106,/product_images/image_row_0505.jpg,SY-耐时王 草本配方6ml,无,盒,3.38,,1瓶/盒,=G505*F505,98,=J505*G505,6973855941207,0.035
R-E-107,/product_images/image_row_0506.jpg,SY-久时久 抑菌喷剂6ml,无,盒,3.38,,1瓶/盒,=G506*F506,98,=J506*G506,6971779151030,0.035
R-E-108,/product_images/image_row_0507.jpg,SY-金骑士 男士外用喷剂6ml,无,盒,3.38,,1瓶/盒,=G507*F507,98,=J507*G507,6971779150071,0.035
R-E-109,/product_images/image_row_0508.jpg,SY-金枪王喷剂6ml,无,盒,3.38,,1瓶/盒,=G508*F508,98,=J508*G508,6971779150552,0.035
R-E-110,/product_images/image_row_0509.jpg,SY-久战金刚 男士抑菌喷剂10ml,无,盒,6.305,,1瓶/盒,=G509*F509,128,=J509*G509,6971779150033,0.05
R-E-111,/product_images/image_row_0510.jpg,SY-根力挺 男士抑菌喷剂10ml,无,盒,6.305,,1瓶/盒,=G510*F510,128,=J510*G510,6973855941337,0.05
R-E-112,/product_images/image_row_0511.jpg,SY-性霸100 男士抑菌喷剂10ml,无,盒,6.305,,1瓶/盒,=G511*F511,128,=J511*G511,6973855941351,0.05
R-E-113,/product_images/image_row_0512.jpg,SY-久硬双动力 男士抑菌喷剂10ml,无,盒,6.305,,1瓶/盒,=G512*F512,128,=J512*G512,6973855941320,0.05
R-E-114,/product_images/image_row_0513.jpg,SY-雄风猛男 男士抑菌喷剂10ml,无,盒,6.305,,1瓶/盒,=G513*F513,128,=J513*G513,6971779151450,0.05
R-E-116,/product_images/image_row_0514.jpg,SY-真功夫 男士外用喷剂6ml,无,盒,3.38,,1瓶/盒,=G514*F514,88,=J514*G514,6973855941122,0.035
R-E-117,/product_images/image_row_0515.jpg,SY-G点高潮 女士外用喷剂6ml,无,盒,3.38,,1瓶/盒,=G515*F515,88,=J515*G515,6971779152389,0.035
R-E-118,/product_images/image_row_0516.jpg,SY-硬男人 本草配方6ml,无,盒,3.38,,1瓶/盒,=G516*F516,88,=J516*G516,6973855941184,0.035
R-E-119,/product_images/image_row_0517.jpg,SY-999神油延时喷剂 女士加强款,无,盒,3.51,,1瓶/盒,=G517*F517,98,=J517*G517,6973855941245,0.035
R-E-120,/product_images/image_row_0518.jpg,SY-999神油延时喷剂 男士加强款,无,盒,3.51,,1瓶/盒,=G518*F518,98,=J518*G518,6971779151948,0.035
R-F-122,/product_images/image_row_0519.jpg,DA-延时喷剂（印度神油）,无,盒,7.475,,1瓶/盒,=G519*F519,88,=J519*G519,6971341304246,0.045
R-F-123,/product_images/image_row_0520.jpg,DA-伽拉陀男士喷剂,无,盒,13.325,,1瓶/盒,=G520*F520,88,=J520*G520,6971341302396,0.045
R-F-131,/product_images/image_row_0521.jpg,AKY-UNCLEYEAH蜂胶紧润丹抑菌液,无,盒,9.1,,10粒/盒,=G521*F521,98,=J521*G521,6971212072472,0.08
R-F-140,/product_images/image_row_0522.jpg,AKY-女用快感增强液15ml,无,盒,7.475,,1瓶/盒,=G522*F522,148,=J522*G522,6971212073363,0.11
R-F-141,/product_images/image_row_0523.jpg,AKY-XBS女性快感增强凝露（升级版）15ml,无,盒,4.55,,1瓶/盒,=G523*F523,98,=J523*G523,6971212072113,0.08
R-F-142,/product_images/image_row_0524.jpg,AKY-KVG壳春妇女性快感增强凝露15ml,无,盒,4.55,,1瓶/盒,=G524*F524,98,=J524*G524,6971212075008,0.08
R-F-143,/product_images/image_row_0525.jpg,AKY-XBS女性快感凝胶20ml,无,盒,2.08,,1瓶/盒,=G525*F525,78,=J525*G525,6971212071901,0.06
R-F-152,/product_images/image_row_0526.jpg,AKY-MAX MENS 男士劲能按摩膏60ml黑金版,无,盒,3.51,,1瓶/盒,=G526*F526,88,=J526*G526,6971212077262,0.11
R-F-153,/product_images/image_row_0527.jpg,AKY-MAX MENS 男士劲能按摩膏50ml蓝版,无,盒,3.51,,1瓶/盒,=G527*F527,88,=J527*G527,6971212077279,0.11
R-F-154,/product_images/image_row_0528.jpg,MizzZee-谜姬 后庭润滑液80ml,无,盒,9.3275,,1瓶/盒,=G528*F528,48,=J528*G528,6937486617788,0.15
